ID,Threat_Category,Short_Name,Severity,Likelihood,Attack_Complexity,Potential_Impact,Num_Studies,Risk_Score,Exploitability,Risk_Level
ASI01,Agent Goal Hijack,Goal Hijack,9.5,9.0,3.0,9.5,27,8.55,7.0,Critical
ASI02,Tool Misuse & Exploitation,Tool Misuse,8.8,8.5,5.0,8.5,10,7.48,5.0,High
ASI03,Identity & Privilege Abuse,Identity Abuse,9.2,8.8,4.0,9.0,8,8.10,6.0,Critical
ASI04,Unexpected Code Execution,Code Exec,8.5,7.5,6.5,8.5,7,6.38,3.5,Medium
ASI05,Insecure Inter-Agent Comm.,Insecure Comm,7.8,7.0,6.0,7.5,8,5.46,4.0,Medium
ASI06,Human-Agent Trust Exploit.,Human Trust,7.5,8.0,3.5,7.0,8,6.00,6.5,Medium
ASI07,Supply Chain Vulnerabilities,Supply Chain,8.0,7.5,5.5,8.0,9,6.00,4.5,Medium
ASI08,Memory & Context Poisoning,Memory Poison,8.3,7.8,5.0,8.0,9,6.47,5.0,Medium
ASI09,Cascading Failures,Cascading,8.7,7.2,7.0,9.0,9,6.26,3.0,Medium
ASI10,Rogue Agents,Rogue Agents,9.0,6.5,7.5,9.5,9,5.85,2.5,Medium
